Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00   1286.93     0.00       32     0.00     0.00  proc_IncrementNumRunsExecThisCPU
  0.00   1286.93     0.00       32     0.00     0.00  stats_Analysis
  0.00   1286.93     0.00       27     0.00     0.00  coeff_GetStopSlopeResist
  0.00   1286.93     0.00       21     0.00     0.00  gdImageString
  0.00   1286.93     0.00       21     0.00     0.00  util_AllCAPS
  0.00   1286.93     0.00       18     0.00     0.00  coeff_GetStepSlopeResist
  0.00   1286.93     0.00       17     0.00     0.00  coeff_GetStartRoadGravity
  0.00   1286.93     0.00       15     0.00     0.00  coeff_GetStopSpread
  0.00   1286.93     0.00       15     0.00     0.00  pgrid_GetPGridCount
  0.00   1286.93     0.00       12     0.00     0.18  igrid_Debug
  0.00   1286.93     0.00       12     0.00     0.00  landclass_IsAlandclass
  0.00   1286.93     0.00       12     0.00     0.00  scen_GetProbabilityColorCount
  0.00   1286.93     0.00       11     0.00     0.00  ReadColorMap
  0.00   1286.93     0.00       11     0.00     0.11  gdImageCreateFromGif
  0.00   1286.93     0.00       11     0.00     0.00  grid_dump
  0.00   1286.93     0.00       11     0.00     0.00  igrid_SetGridSizes
  0.00   1286.93     0.00       11     0.00     0.08  igrid_echo_input
  0.00   1286.93     0.00       11     0.00     0.00  mem_GetIGridPtr
  0.00   1286.93     0.00       11     0.00     0.00  scen_GetEchoImageFlag
  0.00   1286.93     0.00       11     0.00     0.00  scen_GetInputDir
  0.00   1286.93     0.00       11     0.00     0.00  scen_GetProbabilityColor
  0.00   1286.93     0.00       10     0.00     0.00  coeff_GetStepSpread
  0.00   1286.93     0.00       10     0.00     0.00  scen_GetNumLanduseClasses
  0.00   1286.93     0.00        9     0.00     0.00  coeff_GetStartSlopeResist
  0.00   1286.93     0.00        9     0.00     0.00  coeff_GetStopBreed
  0.00   1286.93     0.00        8     0.00     0.00  landclassSetColor
  0.00   1286.93     0.00        8     0.00     0.00  landclassSetGrayscale
  0.00   1286.93     0.00        8     0.00     0.00  landclassSetName
  0.00   1286.93     0.00        8     0.00     0.00  landclassSetType
  0.00   1286.93     0.00        8     0.00     0.00  landclass_GetClassColor
  0.00   1286.93     0.00        8     0.00     0.00  scen_GetDeltatronColorCount
  0.00   1286.93     0.00        8     0.00     0.00  scen_GetLanduseClassColor
  0.00   1286.93     0.00        8     0.00     0.00  scen_GetLanduseClassGrayscale
  0.00   1286.93     0.00        8     0.00     0.00  scen_GetLanduseClassName
  0.00   1286.93     0.00        8     0.00     0.00  scen_GetLanduseClassType
  0.00   1286.93     0.00        8     0.00     0.00  scen_GetUrbanDataFilename
  0.00   1286.93     0.00        7     0.00     0.00  wgrid_GetWGridCount
  0.00   1286.93     0.00        6     0.00     0.00  coeff_GetStepBreed
  0.00   1286.93     0.00        6     0.00     0.00  coeff_GetStopDiffusion
  0.00   1286.93     0.00        6     0.00     0.00  mem_GetPGridPtr
  0.00   1286.93     0.00        6     0.00     0.00  scen_GetDeltatronColor
  0.00   1286.93     0.00        5     0.00     0.00  coeff_GetStartSpread
